fips,2020/01/01,2020/02/01,2020/03/01,2020/04/01,2020/05/01,2020/06/01,2020/07/01,2020/08/01,2020/09/01,2020/10/01,2020/11/01,2020/12/01,2021/01/01,2021/02/01,2021/03/01,2021/04/01,2021/05/01,2021/06/01,2021/07/01,2021/08/01,2021/09/01,2021/10/01,2021/11/01,2021/12/01,2022/01/01,2022/02/01
51077,0,0,0,0,0,2,2,2,9,5,3,2,2,5,2,2,2,3,1,1,3,3,6,10,5,7
51079,0,0,0,1,0,0,1,1,0,0,1,0,1,2,8,1,2,0,3,2,4,11,7,2,2,6
51081,0,0,0,6,1,0,1,2,0,4,1,0,1,6,2,0,1,1,0,0,0,3,0,4,0,3
51083,0,0,0,0,0,1,0,1,5,1,9,19,16,9,13,4,1,0,0,11,9,8,8,13,2,9
51085,0,0,0,9,16,2,6,4,3,6,10,18,29,25,26,9,6,6,3,5,13,10,6,7,7,24
51087,0,0,3,97,34,11,40,13,25,24,15,42,53,143,90,32,19,12,6,9,32,37,19,16,16,55
51089,0,0,0,1,2,1,1,11,10,8,9,12,22,32,17,1,3,0,0,4,12,16,19,37,7,10
51091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
51093,0,0,0,2,1,5,1,2,8,8,2,2,9,14,10,5,2,0,0,3,6,9,4,1,1,5
51095,0,0,3,9,3,0,1,2,3,1,0,6,11,13,17,3,0,0,0,6,10,7,4,3,0,4
51097,0,0,0,0,1,0,0,0,0,1,0,0,1,3,2,0,0,1,0,0,1,0,1,0,1,0
51099,0,0,0,4,0,0,0,0,0,1,0,5,1,5,2,1,1,0,0,0,2,1,1,3,0,4
51101,0,0,0,1,0,0,2,0,0,2,1,0,1,3,3,1,2,1,1,1,6,2,1,2,0,3
51103,0,0,0,0,0,0,0,0,0,1,0,1,1,8,5,1,1,0,1,1,2,1,0,1,0,2
51105,0,0,0,0,0,0,1,2,4,3,4,15,8,2,6,1,2,0,0,0,5,7,2,5,7,2
51107,0,0,0,15,48,25,24,8,7,5,12,17,22,49,45,5,4,5,0,2,5,10,3,13,4,20
51109,0,0,0,0,1,0,1,0,4,2,0,1,3,9,6,5,1,1,0,2,5,7,5,1,2,11
51111,0,0,0,0,0,0,1,1,1,1,1,0,1,1,5,3,1,1,0,3,1,1,2,1,2,1
51113,0,0,0,0,1,0,0,1,1,0,1,0,2,6,3,1,0,0,1,1,3,1,2,2,3,3
51115,0,0,0,0,0,0,0,0,0,0,1,3,2,4,2,0,0,0,2,0,2,6,2,0,0,2
51117,0,0,0,10,11,5,6,1,0,2,1,3,7,7,9,4,1,0,3,2,5,8,6,9,4,4
51119,0,0,0,0,0,0,1,0,9,1,0,0,5,0,2,2,0,0,2,1,2,6,2,1,2,6
51121,0,0,0,1,0,1,1,1,0,1,10,23,26,14,16,5,6,2,0,2,9,17,5,6,4,7
51125,0,0,0,0,0,0,0,0,2,0,1,1,2,1,5,0,1,0,0,0,3,1,3,5,1,0
51127,0,0,0,3,1,0,0,0,2,0,1,1,1,5,3,2,2,1,0,1,1,5,1,2,0,2
