fips,2020/01/01,2020/02/01,2020/03/01,2020/04/01,2020/05/01,2020/06/01,2020/07/01,2020/08/01,2020/09/01,2020/10/01,2020/11/01,2020/12/01,2021/01/01,2021/02/01,2021/03/01,2021/04/01,2021/05/01,2021/06/01,2021/07/01,2021/08/01,2021/09/01,2021/10/01,2021/11/01,2021/12/01,2022/01/01,2022/02/01
5093,0,0,0,19,56,93,509,672,359,683,834,1168,857,312,76,80,69,30,199,801,1022,371,336,784,3043,302
5095,0,0,0,4,1,8,38,46,41,93,82,166,257,95,34,6,5,18,74,125,82,23,11,48,592,39
5097,0,0,0,1,1,3,22,77,55,32,124,182,162,75,22,4,5,9,53,166,119,29,27,38,233,45
5099,0,0,1,0,5,95,28,34,63,107,133,130,123,66,26,4,11,62,75,129,205,74,38,85,533,57
5101,0,0,1,2,0,2,88,31,128,73,122,109,95,46,16,12,14,32,160,155,70,25,52,132,301,31
5103,0,0,0,6,5,13,57,83,112,126,381,594,594,253,74,16,38,102,247,410,251,60,52,352,1255,194
5105,0,0,2,5,7,20,24,15,27,61,110,180,241,128,23,12,10,24,238,211,124,68,69,114,637,80
5107,0,0,0,5,18,121,128,135,110,262,180,307,343,90,36,68,48,32,283,544,404,96,39,242,1098,87
5109,0,0,3,1,2,3,74,99,58,39,113,300,192,98,22,15,4,28,118,251,232,68,48,91,533,116
5111,0,0,5,17,12,25,93,338,186,482,507,733,521,139,37,44,28,26,289,722,512,198,170,530,1771,244
5113,0,0,4,4,14,55,51,96,45,104,446,439,401,236,69,23,26,31,117,374,330,123,24,81,740,143
5115,0,0,6,37,105,285,728,613,392,634,919,1718,1740,535,123,151,73,78,538,1875,1019,360,308,628,4445,589
5117,0,0,0,2,0,18,39,56,39,86,120,174,245,76,15,4,20,7,74,194,85,9,9,68,496,66
5119,0,0,103,405,370,1148,2697,2339,2437,2841,4555,7757,9179,3282,892,663,816,1301,5275,7014,3086,1398,1343,5496,30886,2777
5121,0,0,3,14,9,22,116,147,131,244,295,466,379,112,52,40,80,35,130,351,456,194,111,275,832,187
5123,0,0,2,81,589,141,300,233,197,243,273,670,587,121,71,67,33,41,208,402,396,167,59,292,1638,123
5125,0,0,11,59,47,164,580,721,554,884,1875,2562,2840,983,282,135,286,504,1860,2299,1251,448,349,1275,8648,751
5127,0,0,1,0,0,10,30,45,20,126,150,206,281,58,10,8,11,32,99,185,396,74,30,78,302,73
5129,0,0,4,2,1,0,19,76,48,60,90,207,112,49,9,10,37,43,219,154,97,22,65,128,475,84
5131,0,0,8,5,27,428,1221,1188,935,1184,1966,2469,4041,1000,453,139,143,260,915,2832,2009,871,757,1163,6578,735
5133,0,0,2,9,199,490,229,228,50,179,321,364,264,284,72,10,12,35,109,372,371,237,165,156,1213,140
5135,0,0,0,10,39,8,51,56,92,140,322,433,311,77,33,41,25,40,259,370,398,206,223,225,827,224
5137,0,0,5,2,2,5,38,142,167,46,72,285,160,34,19,5,6,120,149,198,153,115,199,128,575,116
5139,0,0,8,43,123,75,180,259,220,250,407,860,903,332,230,73,39,79,206,520,622,302,170,525,2158,195
5141,0,0,20,9,0,7,18,68,58,40,171,357,374,111,52,54,40,61,196,257,254,85,108,206,750,125
5143,0,0,22,64,423,2988,2318,992,2745,2159,3744,5872,6240,1676,816,583,410,439,2398,5916,3350,1347,1052,2137,14710,2019
5145,0,0,11,23,11,44,164,279,370,682,1453,1698,1748,638,219,145,189,258,1237,2063,1010,522,586,849,5234,1008
5147,0,0,1,0,1,6,13,9,28,76,72,159,190,65,11,12,6,3,52,215,141,42,38,54,396,78
5149,0,0,0,3,138,475,388,159,97,105,294,733,658,302,51,18,25,18,154,469,428,156,104,201,1472,148
5999,0,0,69,243,124,846,1111,525,2216,805,1727,1027,971,905,85,85,124,93,470,1541,1069,129,501,1474,15199,2684
6001,0,0,334,1290,1787,2574,5339,6737,3196,2185,5905,21672,19325,6897,2462,3014,2364,746,5440,12391,6886,3677,3491,11836,87823,11308
6003,0,0,1,1,1,0,1,0,0,2,37,24,7,5,11,0,1,0,0,3,9,4,3,5,11,2
6005,0,0,1,6,3,12,99,119,53,50,204,1870,763,282,88,98,36,69,159,634,572,423,231,219,2106,594
6007,0,0,8,8,29,131,766,1085,822,312,971,3259,2787,785,321,491,536,278,2656,2879,3519,1918,1136,1152,8533,1732
6009,0,0,3,10,2,17,93,111,86,32,124,653,632,132,122,88,80,44,103,677,606,420,344,323,2182,465
6011,0,0,1,2,2,41,277,125,91,21,180,615,584,194,36,51,45,27,70,366,239,154,128,106,709,293
6013,0,0,222,669,559,1682,4675,6268,2958,2178,5234,16222,16640,5187,2537,2514,1352,1506,6167,12537,5898,3496,3015,8478,68021,6525
6015,0,0,0,3,42,6,37,35,21,37,158,421,123,118,162,166,102,52,185,1266,651,140,133,105,1169,459
6017,0,0,18,26,46,94,453,330,184,235,1061,3143,2709,773,301,525,351,148,1481,2489,1982,1027,776,1255,7787,1321
6019,0,0,68,496,1180,3264,9785,10170,3658,3087,6974,26832,23076,6917,3763,2033,1189,610,11287,11456,12446,9585,7857,5807,56615,9601
6021,0,0,2,3,11,96,185,141,152,85,278,507,970,265,124,67,52,34,100,444,642,291,133,151,1261,335
6023,0,1,26,27,47,40,100,155,124,59,323,866,990,426,303,377,439,278,569,2051,1448,770,734,1039,6417,1084
6025,0,0,38,286,1758,4151,3124,1353,1197,1130,3234,5995,3893,743,574,764,486,309,3422,1210,1479,1664,2016,3599,16084,4982
6027,0,0,8,12,0,10,16,117,31,53,54,282,497,211,95,51,9,4,19,116,212,518,285,200,1459,217
6029,0,0,101,809,1350,2405,14887,9772,2804,2250,7579,27012,25144,9182,2871,2306,1586,929,2156,11727,14263,9969,8672,5105,52192,10550
6031,0,0,4,92,1026,1295,1963,1960,1426,882,2735,4748,4659,1287,532,261,197,164,1722,2927,2921,2314,1541,1198,11673,2348
6033,0,0,0,7,16,42,133,139,232,155,206,868,1000,347,174,109,79,78,657,1107,890,483,288,196,2676,843
6035,0,0,0,0,5,228,404,122,26,37,1383,2532,702,208,52,41,44,85,66,367,950,500,291,128,1620,674
6037,1,0,3010,20171,31814,48533,84952,53287,28531,37319,93416,369881,346431,75213,27300,12918,10569,5750,50101,107017,51865,33983,33962,169450,962832,87452
6039,0,0,23,25,61,413,1500,1776,774,537,1196,4201,3952,1024,536,380,155,145,1406,1805,2581,1995,1715,1153,10315,2777
6041,0,1,101,136,246,1806,2702,1162,581,395,663,1992,2544,837,436,266,193,105,873,1457,829,493,638,2746,12628,1562
6043,0,0,0,3,13,10,30,19,3,5,59,113,115,28,15,31,13,13,34,316,278,306,200,136,927,204
6045,0,0,4,8,46,53,229,392,253,201,429,964,876,377,130,88,168,175,338,1317,1164,633,747,550,4828,1018
6047,0,0,10,115,160,563,3437,3747,978,681,2501,7269,6786,2741,1622,1001,548,227,952,3596,3863,2712,1974,1704,17532,3861
6049,0,0,0,0,0,0,2,10,15,23,103,172,77,50,24,18,19,55,10,30,118,169,157,66,369,51
6051,0,0,13,13,12,4,102,22,5,26,356,352,277,53,84,32,17,5,21,124,110,160,175,244,881,54
6053,0,0,42,171,317,1112,2900,3438,2107,1665,3869,12240,11566,2836,652,519,284,165,1846,2180,2243,1027,1300,2673,25695,10397
6055,0,1,15,52,46,204,571,543,296,301,1062,2651,2601,696,356,382,159,98,415,1160,858,466,435,1171,8498,2152
6057,0,0,21,22,0,76,183,151,98,100,706,1261,851,461,287,309,228,134,635,1959,1127,602,694,651,5042,953
6059,1,0,501,1919,3933,7489,21970,12342,6701,6597,19005,85355,79782,15242,5013,3868,1993,1467,8865,22984,13722,7114,8152,24171,194461,21405
6061,0,0,67,80,70,469,1192,1127,601,749,2269,7135,4675,1333,1098,1270,794,740,3265,5090,5149,2221,2065,2942,18154,3360
6063,0,0,1,3,1,2,19,14,9,32,112,207,156,77,34,42,23,20,29,250,302,376,202,111,722,184
6065,0,0,371,3660,3461,10191,19625,15601,6496,8645,19338,93170,91357,17540,5011,3989,2191,1099,13884,27849,19648,11431,12966,25287,165159,17880
6067,0,3,221,853,337,1677,6597,8232,4602,3531,11699,27657,22004,6893,4437,5241,3306,2306,9078,19921,16199,8053,6532,11235,97925,14592
6069,0,0,21,30,36,146,389,475,255,112,429,1780,1728,366,110,155,55,30,273,427,396,342,278,711,3934,552
6071,0,0,183,1875,3188,7304,19680,15412,7561,9749,28719,100706,80052,12178,4347,4808,2128,1474,9409,23832,15597,9110,12415,23829,155544,17090
6073,0,1,733,2710,3917,6668,14899,9556,8292,9570,24810,73552,82447,22314,9931,6490,4159,2290,29327,37957,22888,18800,15456,44092,279170,34367
6075,0,3,397,1102,1059,1045,2972,2919,1781,1137,3172,7653,8203,2833,1033,1050,599,356,4898,7147,3653,1811,2097,9633,51382,7180
