FIPS,POPN,DATE_RANGE_START,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110
2050,18437,1/1/2020,5828,4410,3508,3063,3220,3496,3634,3589,3216,2756,2180,2247,2239,2061,2339,2388,2445,2383,2392,2869,2747,2907
2060,788,1/1/2020,608,340,348,277,254,694,656,298,299,259,217,177,330,322,341,271,648,712,660,280,175,209
2068,2081,1/1/2020,1286,1198,1033,626,1190,2664,4641,3651,2662,751,402,440,469,512,973,875,3974,11839,14784,10974,5403,1456
2070,4833,1/1/2020,1540,1200,897,788,966,1154,1153,883,935,873,752,693,752,531,702,880,1170,1236,1321,903,815,821
2090,95651,1/1/2020,190599,179328,125627,80708,106213,121289,128047,135064,125941,126755,105543,115475,109714,106650,133028,127919,144571,152882,158111,160962,152176,148984
2100,2614,1/1/2020,1161,890,653,475,561,1004,1186,1016,937,718,512,595,551,540,596,831,856,771,1071,779,658,341
2105,2141,1/1/2020,1553,1525,1266,1179,1512,1593,1898,1561,1282,1242,926,804,877,740,841,1054,1390,1834,2066,1454,1028,854
2110,31849,1/1/2020,64732,52107,41908,27037,31854,34715,39703,37917,33316,34633,28413,32089,32522,30097,33882,37245,42600,47214,52479,55653,48150,44024
2122,59414,1/1/2020,106745,87104,69514,51832,78853,102907,130848,109532,94139,80511,60660,67181,69854,74085,90601,95486,122019,152783,185328,151481,113928,102399
2130,13747,1/1/2020,19392,18645,14642,10817,13591,16527,17019,16846,15845,14721,11558,13504,11803,10407,13551,14635,14225,17640,21415,23941,21367,17024
2150,12992,1/1/2020,15129,12807,10923,6922,8066,10078,11381,12681,12495,12528,8254,6999,8284,9116,10708,11906,14290,10823,12211,12739,12847,12947
2164,1493,1/1/2020,123,104,120,118,93,230,238,211,204,156,93,85,134,69,100,79,58,185,198,217,147,132
2170,110213,1/1/2020,221361,173139,136702,108180,145761,161639,168186,171858,162750,165359,134994,152591,150814,143056,174141,177649,187911,182988,191372,200347,187925,187595
2180,9909,1/1/2020,4415,4542,5042,3014,2788,3806,3758,3971,3688,3758,3105,3140,3130,2437,2994,2637,2787,3151,3415,2991,2662,2660
2185,9294,1/1/2020,15051,12131,10366,8080,6401,7115,7194,7953,6438,5813,4447,18380,27658,20697,7427,5956,5861,5940,6363,7478,6238,5960
2188,7644,1/1/2020,7976,8097,8647,3401,3396,3949,5500,6213,5217,5263,6505,6179,6748,4821,5673,5733,6121,5143,5485,4788,4197,3856
2195,,1/1/2020,3076,2290,1818,1183,1541,2722,2821,3148,3033,2785,2028,2391,2018,1752,1847,2500,3389,3296,3163,3699,3559,2921
