REGION,Popn,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110
GA,10710017,55250732,50373364,39581806,23035616,32864301,37366887,39718212,41926610,40071841,43799457,43799457,42746123,40045214,38655504,48533688,47458301,49975341,45837717,47797643,48736368,47510262,50880904
GU,,141425,36034,87429,4963,42113,52208,58574,46911,31904,35623,35623,45847,56160,28089,428,360,225,291,388,441,190,210
HI,1407006,6743005,5799862,4624545,2122138,2670211,3185714,3492671,3230021,2782409,3334798,3334798,3864962,3490343,3358437,4415867,4541836,4793730,5304177,5621665,5174910,4327854,4577867
IA,3163561,13692439,12823567,10119366,6290729,8307782,10239545,10972209,11692377,11433731,11855289,11855289,10439619,10585026,10159682,12611479,13021054,13768623,12896825,12819739,13661111,13991656,14261553
ID,1826913,5384253,4688624,3842620,2474259,3385429,4031503,4279742,4350467,4196399,4266726,4266726,3872618,3828534,3628491,4435374,4483132,4811104,4783839,4938105,4938559,4914197,5024977
IL,12587530,51827600,46493168,35496847,19252619,24397546,31107380,34999223,37137974,34777016,35884013,35884013,31996149,30198545,28766906,36675429,37873733,41028207,38886469,39114511,41425752,41355986,42181854
IN,6754953,27205516,24069312,18455206,11113993,15565758,18843598,20350588,22054402,21485913,21711847,21711847,19527147,19160370,18089415,22996444,23148972,24604006,22680807,23458143,25674099,25273553,25546295
KS,2913805,13031297,12075480,9379043,5603431,7745530,9622648,9729948,10405681,10174252,10736769,10736769,9558921,9398474,8939481,11537648,11705496,12257237,11543642,11475712,12416345,12392748,12969366
KY,4477251,18161293,16547374,13208612,8092316,10403096,12386617,13236006,14227619,13814434,14531217,14531217,12549084,12733264,11622477,16683143,16170146,16983023,15533030,16354519,17681674,17437536,18021791
LA,4645318,22564569,20997224,16138343,9623914,13499125,15788846,15822742,16508651,16655985,17852219,17852219,17398352,16823511,15145063,20904098,20021687,20844460,19315975,19637115,19445738,19076146,21829980
MA,6893574,20556772,17791792,12780336,6162274,7991762,10045808,11823407,12560781,11953808,11941957,11941957,10382444,9866087,9118534,11314398,11646823,13331197,12836669,12985443,12992790,14010028,14455172
MD,6055802,20861906,19069284,14049014,7437172,9574321,12134780,13455733,13703156,12684706,13110972,13110972,11731796,10892677,9636820,12615815,12987681,14184109,13935128,14411776,14118697,14580622,14992618
ME,1350141,3070280,2768089,2124757,1202373,1599085,2058763,2528671,2739632,2480418,2435096,2435096,2034117,1958830,1907135,2380713,2387964,2743464,2927091,3243835,3216576,3013516,3030132
MI,9966555,36002409,31687870,22852072,11220604,16277656,22543409,25059397,26146944,25202176,25846303,25846303,20863957,20525972,20456759,25184330,24136507,27712454,26875978,27618554,28359912,28693594,29119715
MN,5657342,20360004,18204320,13534352,7514390,9633581,12504278,13857509,14582011,13856989,13901524,13901524,11454935,11888269,11361384,13934429,14229596,15986368,15508735,15613116,15517021,15765552,15985619
MO,6151548,28370933,26568580,21191718,12573637,18009535,21720359,22645869,23760302,23089338,24303465,24303465,22500783,21442793,19628057,27131834,26960447,28253021,26962063,27097609,28065362,28294511,29526575
MP,,367,73,344,3,43,2,220,392,63,0,0,0,96,241,1,0,0,0,0,0,0,0
MS,2966786,14835529,14346001,11123746,7216319,10289724,11759755,11931100,12919807,12813735,13655066,13655066,12628109,12681934,11442365,15965279,15891963,15747404,14448898,14733493,15419392,15804344,16584113
MT,1080577,2945535,2517010,2007301,1275930,1794916,2250736,2526495,2554874,2375912,2193555,2193555,2058795,2054551,1910350,2395708,2339073,2536954,2799998,2940454,2796998,2675375,2627338
