STATENM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
NV,-1.39E-10,-0.007002245,0.024401421,0.013536272,0.013425186,0.011928252,0.044516556,0.058284267,0.0405933,0.018707012,0.019518775,0.027884382,0.02963279,0.024516651,0.016138244,0.014350957,0.011958631,0.01187332,0.052169479,0.045275922,0.01202359,0.005042435,0.004711969,-0.005290685,-0.003490496,0.011126712
NH,-1.39E-10,-0.007002245,0.006896169,0.009808638,0.028845492,0.038459295,0.013979578,0.00533724,0.003459031,0.011450419,0.00617096,0.015355201,0.016417366,0.01188846,0.0120981,0.012983968,0.011971485,-0.013755092,-0.014124351,-0.015760101,-0.01661984,-0.015154801,0.005283966,0.00931812,0.001910413,-0.009314929
NJ,-1.39E-10,-0.007002245,0.087430095,0.153560017,0.11324797,0.152180386,0.037966449,0.006442777,0.009519987,0.009532072,0.012515903,0.019894956,0.020495163,0.02154155,0.030070163,0.03089147,0.024448158,0.012259851,-0.012156031,-0.014236792,-0.015382896,-0.01516828,-0.016371154,-0.013662825,0.014977163,0.003665706
NM,-1.39E-10,-0.007002245,0.007411425,0.010913315,0.025216127,0.02778293,0.029423205,0.024693785,0.020203278,0.021586382,0.046185025,0.040352011,0.031835091,0.02239097,0.021103056,0.013912627,0.035672215,0.017111557,0.01295789,-0.011065783,0.009098883,-0.008979895,0.009229138,0.019408441,0.017051745,0.002069527
NY,-1.39E-10,-0.007002245,0.267185904,0.219637468,0.071704499,0.044833606,0.013399268,0.018738469,0.005919982,0.007990991,0.009299538,0.01573256,0.022160277,0.022456039,0.028126649,0.025078824,0.013164053,-0.013363559,-0.014829801,-0.014472491,-0.015826096,-0.015869975,-0.015236414,-0.009501155,0.01512183,-0.004872172
NC,-1.39E-10,-0.007002245,0.003266259,0.006776237,0.011538681,0.017851129,0.023587395,0.028147852,0.033723948,0.025013879,0.014388191,0.013178352,0.017963084,0.018545354,0.015351414,0.013200567,0.011982666,0.01406146,-0.011173581,0.006594365,0.010376169,0.006067529,-0.013577686,-0.015021781,-0.009071099,-0.003581944
ND,-1.39E-10,-0.007002245,0.011877171,0.003869482,0.013606557,0.013286084,0.013625078,0.02002148,0.058961101,0.118625966,0.096269247,0.045152395,0.014841169,-0.008620522,-0.010345129,-0.012071097,-0.011688054,0.012969578,-0.012996497,-0.014679791,-0.014708292,0.013022554,0.013964264,0.00672944,-0.011249363,-0.006042253
OH,-1.39E-10,-0.007002245,0.014134566,0.015437789,0.023049591,0.02520009,0.022936068,0.021206626,0.024381952,0.014491149,0.016227711,0.018823229,0.014593739,0.070076246,0.029215795,0.013658168,0.012155318,0.018707013,-0.012570202,-0.014149476,-0.0127342,0.016797367,0.014775404,0.021883489,0.02095935,0.016199243
OK,-1.39E-10,-0.007002245,0.017222682,0.009706099,0.006686955,0.005885665,0.016697078,0.024701157,0.024810839,0.024464537,0.017077085,0.016590699,0.019527716,0.024930247,0.026686933,0.155395948,0.052382963,0.012570545,0.009629745,0.007419182,0.025552371,0.056195354,-0.017071872,0.007430341,-0.009289267,0.005110415
OR,-1.39E-10,-0.007002245,0.012810424,0.003695182,0.002983222,0.005936931,0.011840742,0.013116471,0.010284238,0.01099435,0.00966834,0.012449841,0.009799921,-0.010090798,0.011357509,-0.011603283,0.012068293,0.012580227,-0.011254913,0.006906831,0.008891701,0.006851416,0.016937284,-0.007097378,-0.011699276,-0.009399171
PA,-1.39E-10,-0.007002245,0.01680514,0.039191544,0.053261278,0.037178925,0.019069034,0.014673501,0.016373103,0.017290862,0.020104299,0.040780874,0.038406728,0.019114329,0.015456646,0.020415102,0.026433037,0.016449139,-0.013510489,-0.014461139,-0.01283227,0.005905217,0.009868365,0.024241202,0.019914055,0.010807342
RI,-1.39E-10,-0.007002245,0.022352072,0.048914448,0.107710854,0.106051659,0.028682995,0.015070583,0.029953377,0.026069366,0.027199307,0.037342776,0.029103743,0.044066885,0.029564569,0.013403172,0.01201248,0.012872158,-0.014314006,-0.014738406,-0.014886963,-0.017522283,-0.015758556,-0.005541375,0.009743997,0.007928365
SC,-1.39E-10,-0.007002245,0.012730806,0.00821439,0.011153598,0.019646119,0.080316438,0.074502986,0.054691154,0.034359787,0.01456433,0.015668235,0.026788979,0.035063462,0.021815714,0.014271102,0.012098411,0.013037183,-0.012035167,0.025309301,0.037614497,0.019967918,-0.009084268,-0.012342729,-0.004445998,0.014742105
SD,-1.39E-10,-0.007002245,0.003831475,0.003326966,0.011898463,0.013958731,0.01908221,0.016293813,0.02716119,0.07534285,0.108172345,0.059596022,0.026309593,0.015200812,0.012449921,0.012313566,0.013905874,0.012624772,-0.0136135,-0.014545141,-0.013426097,-0.010291752,0.006132996,0.008094127,0.002098685,0.001437065
TN,-1.39E-10,-0.007002245,0.006004154,0.005358681,0.005610179,0.014534124,0.027878753,0.037861872,0.044474975,0.042135969,0.030143508,0.029948947,0.032986769,0.030960891,0.014013284,0.012803878,0.011891843,0.012533553,0.009323663,0.016350395,0.017896396,0.008106349,-0.008301565,0.077804082,0.008906925,0.011699256
TX,-1.39E-10,-0.007002245,0.006159695,0.004945687,0.006932984,0.011589339,0.070648083,0.073359031,0.04788295,0.0264244,0.019296252,0.018373188,0.024144106,0.026012159,0.033713525,0.014035979,0.012044374,0.012047356,0.009942609,0.024094701,0.025220679,0.013738516,-0.009873196,-0.014793861,-0.009307427,-0.004833814
UT,-1.39E-10,-0.007002245,0.004992558,0.00226287,0.004984657,0.007874891,0.019435795,0.012344778,0.007757052,0.014994077,0.014260788,0.01162821,0.010253209,0.011915548,0.013150317,-0.011431798,0.01179049,0.012932406,0.0095449,-0.010251819,-0.012784061,-0.012590498,-0.008500305,-0.012634648,-0.012089014,-0.014221395
VT,-1.39E-10,-0.007002245,0.061116793,0.012862758,0.002856484,-0.001060952,-0.001069431,-0.001309496,-0.001530916,-0.002170109,-0.004016729,0.01044916,-0.006315643,-0.009369782,-0.010874549,-0.011833547,-0.011409556,-0.015065201,-0.015627474,-0.015170193,-0.015005701,-0.013634035,-0.012288956,-0.009904038,-0.011780622,-0.012539619
VA,-1.39E-10,-0.007002245,0.004581959,0.012280498,0.021933438,0.018966372,0.020623471,0.018399457,0.031385235,0.017214991,0.008733044,0.010895075,0.013134113,0.028231251,0.045548434,0.013827899,0.012145198,0.012137593,-0.011963652,-0.013507283,-0.011568493,0.007105991,-0.009053496,-0.009266877,-0.015632862,0.018442652
WA,-1.39E-10,0.027806041,0.085124542,0.015196307,0.009258765,0.011463322,0.01791399,0.017488727,0.012981862,0.011383036,0.009902425,0.008551342,0.009495078,0.012064627,-0.010900897,-0.011864508,0.011863004,0.011887297,0.009871575,0.009413816,0.007875026,-0.008977788,-0.010370345,-0.013768229,-0.009600959,-0.009160946
WV,-1.39E-10,-0.007002245,0.002154128,0.004510114,0.004248828,0.004557125,0.005844894,0.020989248,0.032958264,0.019717835,0.025849389,0.030360619,0.032013436,0.017103769,0.049168744,0.012198801,0.018926192,0.034196419,0.010574083,0.006831417,0.032572824,0.052898593,0.03038982,0.02525822,0.010165219,0.010806192
WI,-1.39E-10,-0.007002245,0.012932693,0.009686345,0.011097672,0.014413511,0.011253765,0.012720195,0.015694922,0.042530421,0.042534205,0.026183521,0.015541776,0.013124888,0.012223125,0.012520528,0.012726782,0.026241832,0.008466016,-0.014561379,-0.014384549,-0.011976261,-0.008086018,0.013327317,0.005057837,-0.002838764
WY,-1.39E-10,-0.007002245,-0.000551618,0.002081047,0.003814949,0.003232368,0.004753094,0.007726773,0.010445418,0.020597809,0.038248228,0.035129592,0.020114403,0.015214204,0.012100917,-0.01055668,-0.011560051,0.027549559,0.029185787,0.028037714,0.017512301,0.032024073,0.07071376,0.007183498,-0.003387249,-0.005218699
