STATENM,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
MD,24,0,0,1.04E-06,0.000120532,0.000118452,4.52E-05,1.93E-05,1.58E-05,1.25E-05,1.23E-05,3.49E-05,8.68E-05,9.27E-05,6.23E-05,2.68E-05,2.87E-05,5.16E-05,8.92E-06,4.81E-06,1.10E-05,2.41E-05,2.47E-05
MA,25,0,0,5.97E-06,0.000484647,0.000353728,0.000103457,4.06E-05,3.10E-05,2.83E-05,3.83E-05,6.30E-05,0.000138364,0.000187369,0.000144798,8.10E-05,3.13E-05,1.69E-05,8.20E-06,6.02E-06,1.09E-05,2.33E-05,2.19E-05
MI,26,0,0,8.70E-06,0.000233406,7.75E-05,2.32E-05,7.55E-06,8.59E-06,9.61E-06,1.76E-05,6.80E-05,0.000123748,9.15E-05,3.60E-05,1.81E-05,5.00E-05,4.31E-05,1.72E-05,5.11E-06,9.45E-06,2.07E-05,3.31E-05
MN,27,0,0,6.05E-07,2.93E-05,4.84E-05,2.28E-05,7.92E-06,1.04E-05,1.07E-05,2.03E-05,6.80E-05,0.000103082,5.02E-05,1.66E-05,1.80E-05,1.46E-05,1.17E-05,7.22E-06,3.19E-06,6.22E-06,1.49E-05,2.25E-05
MS,28,0,0,9.73E-07,1.81E-05,2.51E-05,1.59E-05,2.72E-05,3.36E-05,2.07E-05,1.43E-05,2.11E-05,4.22E-05,5.30E-05,2.95E-05,1.17E-05,5.57E-06,4.00E-06,3.63E-06,4.79E-06,2.95E-05,3.94E-05,1.50E-05
MO,29,0,0,4.73E-07,1.69E-05,1.60E-05,7.61E-06,7.71E-06,8.80E-06,1.52E-05,2.53E-05,2.81E-05,5.58E-05,3.98E-05,4.07E-05,1.44E-05,6.47E-06,1.00E-05,6.19E-06,9.35E-06,2.24E-05,2.14E-05,1.30E-05
MT,30,0,0,1.82E-06,6.86E-06,4.11E-07,1.65E-06,1.13E-05,1.28E-05,2.36E-05,6.62E-05,0.000124538,0.000101557,9.84E-05,4.89E-05,2.44E-05,4.30E-05,1.20E-05,1.41E-05,1.02E-05,2.55E-05,5.75E-05,9.42E-05
NE,31,0,0,4.18E-07,1.06E-05,1.37E-05,1.06E-05,5.83E-06,5.78E-06,8.48E-06,1.46E-05,4.24E-05,6.43E-05,3.40E-05,1.85E-05,7.44E-06,7.33E-06,1.15E-05,2.04E-06,2.64E-06,3.41E-06,1.96E-05,1.14E-05
NV,32,0,0,2.48E-06,4.33E-05,2.82E-05,9.48E-06,3.17E-05,4.60E-05,2.92E-05,1.62E-05,3.87E-05,0.000103229,0.000123828,7.58E-05,2.48E-05,1.76E-05,9.36E-06,7.25E-06,1.69E-05,4.57E-05,5.02E-05,3.58E-05
NH,33,0,0,8.60E-07,3.69E-05,6.77E-05,3.86E-05,1.18E-05,4.17E-06,1.84E-06,1.17E-05,1.37E-05,7.14E-05,9.51E-05,3.78E-05,1.88E-05,1.80E-05,1.32E-05,4.78E-06,3.66E-06,7.15E-06,1.54E-05,1.95E-05
