STATENM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
TX,0,3.75E-07,0.000121829,0.000867961,0.001222789,0.003464795,0.009413483,0.006718321,0.004895616,0.005770423,0.010507494,0.017321896,0.020520382,0.009446827,0.004796266,0.003384279,0.00200206,0.001590661,0.004713434,0.016078944,0.015514517,0.005805742,0.003315616,0.008421274,0.056123651,0.007470549
UT,0,3.08E-07,0.000272626,0.00116712,0.001590213,0.003857067,0.005506051,0.003664136,0.006427009,0.012805708,0.024946775,0.024883388,0.021542956,0.007631053,0.004489398,0.003606288,0.002723794,0.002781642,0.005332199,0.009835135,0.013566967,0.012740474,0.014134372,0.01268078,0.076477309,0.007260886
VT,0,0,0.000470043,0.000932065,0.000184488,0.000364163,0.000330474,0.000336891,0.000205343,0.000685012,0.003197256,0.005197747,0.007304118,0.005192934,0.006540498,0.005898801,0.00203418,0.000308015,0.000770037,0.005311648,0.008762375,0.010474102,0.015760082,0.023154038,0.064209822,0.006585417
VA,0,0,0.000145392,0.001699423,0.003347976,0.002116276,0.003154741,0.003574387,0.003221791,0.003831996,0.006593864,0.013008344,0.018065754,0.008298758,0.005012943,0.004731587,0.001857736,0.000614628,0.001657167,0.008387227,0.011680375,0.006751013,0.005181849,0.01739141,0.049721072,0.006141623
WA,1.30E-07,1.17E-06,0.000686674,0.001267545,0.001039824,0.001524252,0.003143387,0.002468671,0.001799155,0.002732137,0.007746037,0.010254091,0.008410224,0.003493158,0.003153655,0.004947611,0.004227923,0.002096545,0.00271524,0.011732721,0.012436291,0.008754406,0.006392446,0.009855319,0.062904004,0.007390157
WV,0,0,9.08E-05,0.00054012,0.000495297,0.0005009,0.002094368,0.00202153,0.003136509,0.004825226,0.013100723,0.021006428,0.019983897,0.006081398,0.005580498,0.006381714,0.004571414,0.001543041,0.001666866,0.012704037,0.028445411,0.017970212,0.012473197,0.018695788,0.066455549,0.013467153
WI,0,1.71E-07,0.000231455,0.000963884,0.002007833,0.002235517,0.004337133,0.004065558,0.009053681,0.01863611,0.029808209,0.018637824,0.012293201,0.00432736,0.003235233,0.004185401,0.002394793,0.000560465,0.001637162,0.008019504,0.013068834,0.012384754,0.016843616,0.023969873,0.067887609,0.005951492
WY,0,0,0.000207787,0.000753871,0.000590732,0.001002871,0.002127667,0.001916446,0.003616519,0.012621753,0.034356926,0.019068291,0.012884491,0.004262203,0.003290242,0.003145993,0.003437925,0.003685208,0.004871825,0.017187908,0.026558915,0.021163331,0.014017873,0.007811749,0.05300621,0.009790015
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
