STATENM,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
OH,39,0,0,4.70E-06,7.87E-05,0.000100913,6.06E-05,5.36E-05,5.55E-05,5.70E-05,4.26E-05,9.65E-05,0.000216621,0.000189512,0.000523466,0.00014068,5.78E-05,4.93E-05,3.83E-05,1.57E-05,3.21E-05,9.23E-05,0.000220812,0.000176171,0.000244586,0.000310094,0.000130161
OK,40,0,0,5.78E-06,5.00E-05,2.81E-05,1.33E-05,3.87E-05,6.51E-05,5.80E-05,7.69E-05,0.00010199,0.0001874,0.000265777,0.000221313,0.000131884,0.000460965,0.000126357,2.44E-05,2.44E-05,8.21E-05,0.000285622,0.000442375,4.25E-05,0.000169565,0.000123845,9.65E-05
OR,41,0,0,4.24E-06,2.00E-05,1.18E-05,1.34E-05,2.71E-05,3.35E-05,2.19E-05,3.06E-05,5.40E-05,0.000133443,0.000114818,5.80E-05,4.20E-05,2.71E-05,4.46E-05,2.43E-05,1.96E-05,7.69E-05,0.000136744,0.00013698,0.000186019,0.000116468,0.000104916,5.75E-05
PA,42,0,0,5.63E-06,0.000196272,0.000232961,8.92E-05,4.44E-05,3.77E-05,3.70E-05,5.22E-05,0.000121722,0.000436587,0.000445505,0.00018313,8.57E-05,8.80E-05,7.78E-05,3.58E-05,1.28E-05,3.01E-05,9.11E-05,0.000160679,0.000153873,0.000256899,0.000303209,0.000113743
RI,44,0,0,7.57E-06,0.000244058,0.000477711,0.000257302,6.72E-05,3.88E-05,7.00E-05,8.23E-05,0.000162705,0.000403926,0.000356628,0.000348114,0.000141894,5.39E-05,4.16E-05,2.18E-05,1.04E-05,2.84E-05,6.72E-05,3.97E-05,5.11E-05,0.000126759,0.00023649,0.000105002
SC,45,0,0,4.22E-06,4.25E-05,4.79E-05,4.70E-05,0.000186468,0.000193176,0.000126101,0.000106745,8.57E-05,0.000175353,0.000334608,0.000288231,0.000114986,6.73E-05,4.62E-05,2.03E-05,1.72E-05,0.000133,0.000359139,0.000238404,9.47E-05,8.16E-05,0.000161747,0.000125718
SD,46,0,0,1.14E-06,1.82E-05,5.12E-05,3.30E-05,4.44E-05,4.21E-05,6.37E-05,0.000229899,0.000592957,0.000616858,0.000330053,0.000128607,5.35E-05,3.76E-05,5.46E-05,2.39E-05,1.25E-05,2.96E-05,8.42E-05,0.000105845,0.000113811,0.000172993,0.000186651,8.54E-05
TN,47,0,0,1.89E-06,2.83E-05,2.34E-05,3.44E-05,6.53E-05,9.87E-05,0.000102805,0.000129813,0.000177876,0.000333971,0.00039365,0.000261078,7.01E-05,4.49E-05,3.56E-05,2.47E-05,2.53E-05,0.000107451,0.000239297,0.000172793,9.98E-05,0.00054263,0.000231021,0.000116454
TX,48,0,0,1.94E-06,2.63E-05,2.92E-05,2.72E-05,0.000163756,0.000190186,0.000110556,8.33E-05,0.000116448,0.000210723,0.000309495,0.000228434,0.000156365,6.36E-05,4.33E-05,2.88E-05,3.02E-05,0.000129527,0.00028361,0.000203878,8.95E-05,6.53E-05,0.000123703,7.35E-05
UT,49,0,0,1.54E-06,1.29E-05,2.06E-05,1.82E-05,4.52E-05,3.14E-05,1.57E-05,4.43E-05,8.37E-05,0.000122774,0.000121851,8.31E-05,6.09E-05,2.46E-05,3.08E-05,2.12E-05,2.46E-05,5.63E-05,9.17E-05,8.49E-05,9.85E-05,7.97E-05,0.00010185,4.06E-05
VT,50,0,0,2.09E-05,6.58E-05,1.12E-05,1.60E-06,1.60E-06,1.60E-06,0,0,1.76E-05,0.000107484,6.10E-05,4.81E-05,3.69E-05,3.05E-05,1.44E-05,1.60E-06,6.42E-06,2.57E-05,6.58E-05,7.54E-05,7.38E-05,9.79E-05,0.000104276,4.65E-05
VA,51,0,0,1.40E-06,6.29E-05,9.59E-05,4.53E-05,4.81E-05,4.78E-05,7.32E-05,5.19E-05,4.80E-05,0.000113264,0.000166695,0.000243057,0.000197892,6.04E-05,4.88E-05,2.81E-05,1.75E-05,3.61E-05,0.000105814,0.000134683,9.49E-05,0.000102089,7.39E-05,0.000137011
WA,53,0,1.30E-07,2.92E-05,7.75E-05,3.95E-05,2.69E-05,4.16E-05,4.54E-05,2.86E-05,3.20E-05,5.55E-05,8.29E-05,0.000110091,8.51E-05,3.72E-05,3.09E-05,3.42E-05,3.02E-05,2.37E-05,6.15E-05,0.000148435,0.00011776,8.63E-05,7.21E-05,0.000121399,5.84E-05
WV,54,0,0,5.60E-07,2.41E-05,1.74E-05,1.01E-05,1.29E-05,5.49E-05,7.68E-05,6.05E-05,0.000155761,0.000337855,0.00038436,0.000155201,0.000210669,3.59E-05,6.39E-05,5.55E-05,3.08E-05,7.73E-05,0.00032833,0.00042358,0.000247649,0.000262216,0.000239244,0.000113739
WI,55,0,0,4.29E-06,4.99E-05,4.77E-05,3.41E-05,2.57E-05,3.24E-05,3.53E-05,0.000130987,0.000242085,0.000298492,0.000204367,9.98E-05,5.11E-05,4.06E-05,5.25E-05,4.66E-05,2.78E-05,2.95E-05,7.30E-05,9.05E-05,0.000101155,0.00020008,0.00020591,8.04E-05
WY,56,0,0,0,1.20E-05,1.55E-05,6.87E-06,1.03E-05,1.89E-05,2.23E-05,6.35E-05,0.000219807,0.000382946,0.000271325,0.000128793,4.98E-05,1.20E-05,2.06E-05,4.81E-05,4.98E-05,0.000140814,0.00023698,0.00030567,0.00043618,0.00016829,0.000170007,7.21E-05
